dataset,scene,image,rotation_matrix,translation_vector
imc2023_theather_imc2024_church,church,church_00020.png,-0.282210335;-0.317190507;-0.905399088;0.446457218;0.791913404;-0.416592263;0.849136785;-0.521788600;-0.081874156,1.538891373;1.562241179;3.968552708
imc2023_theather_imc2024_church,church,church_00046.png,0.818354903;-0.275283879;-0.504493844;0.278024504;0.957894592;-0.071696065;0.502988696;-0.081588824;0.860433400,-1.203803993;2.149753867;4.346786010
imc2023_theather_imc2024_church,church,church_00080.png,0.992186484;0.087753338;0.088686706;-0.086953884;0.996129518;-0.012845469;-0.089470678;0.005033447;0.995976738,-1.740243141;1.413444639;2.867702455
imc2023_theather_imc2024_church,church,church_00063.png,0.586756759;-0.377970818;-0.716138650;0.711044625;0.663662807;0.232308458;0.387468769;-0.645515096;0.658162757,-0.548916674;-0.010712643;0.018197397
imc2023_theather_imc2024_church,church,church_00045.png,-0.158953466;-0.320415549;-0.933845636;0.569648930;0.742780222;-0.351820464;0.806370816;-0.587887249;0.064456884,1.124514389;1.134552213;2.104059573
imc2023_theather_imc2024_church,church,church_00071.png,0.947491873;0.081871649;0.309121633;-0.088413833;0.996057881;0.007189683;-0.307314408;-0.034142794;0.950995333,-1.729114345;1.352911315;2.858700933
imc2023_theather_imc2024_church,church,church_00039.png,0.460049264;-0.379644186;-0.802636260;0.415859939;0.890826650;-0.182998335;0.784484025;-0.249596017;0.567702953,1.663969747;0.495428140;1.125642570
imc2023_theather_imc2024_church,church,church_00069.png,0.989757561;0.065578641;0.126804623;-0.077111765;0.993105663;0.088288833;-0.120140527;-0.097162669;0.987990723,-1.366060912;1.277196248;2.103362360
imc2023_theather_imc2024_church,church,church_00026.png,-0.213956796;-0.319633686;-0.923069226;0.558217409;0.735454991;-0.384056350;0.801633216;-0.597444778;0.021069494,0.891078318;1.160294406;2.052189500
imc2023_theather_imc2024_church,church,church_00038.png,0.592963422;-0.356530271;-0.721997608;0.389968917;0.911620455;-0.129893760;0.704498845;-0.204534377;0.679593309,0.519739965;0.488381670;1.181289491
imc2023_theather_imc2024_church,church,church_00110.png,0.007957786;0.419467612;0.907735422;-0.494080151;0.790866304;-0.361130577;-0.869379939;-0.445620254;0.213544166,-0.568954394;2.771873041;4.318070429
imc2023_theather_imc2024_church,church,church_00017.png,-0.606414687;-0.276632771;-0.745476719;0.401528157;0.702681427;-0.587378882;0.686320892;-0.655525073;-0.315040491,1.286055803;1.782616924;3.812665235
